Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
1324.0925121411885	1337.4612636645359	1.08
1303.7357138532936	1314.1896014824715	1.12
1270.4123554144612	1277.6323288051783	1.16
1269.9318305417125	1266.3200994963706	1.2
1278.2650050912237	1269.1300943369333	1.24
1280.3990548054865	1271.7082336877274	1.28
1281.5279616756698	1273.467813616784	1.32
1284.799643178727	1278.7209184580172	1.36
1285.6032228229385	1280.3518761439152	1.4
1290.0862078218768	1288.7757944812088	1.44
1291.1235452094857	1288.5641898154906	1.48
1290.1990163290943	1285.0008281254386	1.52
1288.5633518267412	1284.6293984726292	1.56
1283.3770217894926	1277.348752735658	1.6
1279.8416869427526	1273.7005271182243	1.64
1277.1361271766461	1270.3711280047698	1.68
1275.970936237142	1270.8323786377873	1.72
1275.862431798388	1270.0921863876365	1.76
1274.534646954164	1269.1528303759032	1.8
1274.1458708051125	1267.915563129268	1.84
1272.880411071858	1268.1357654097196	1.88
1272.0217442521596	1268.0952535020133	1.92
1270.1076419790884	1269.3150422325336	1.96
1271.9081371982393	1272.6012181726278	2.0
1276.501464270569	1275.8751007267274	2.04
1279.4761851713165	1280.9673571946748	2.08
1272.7649548979307	1296.2060806634422	2.12
1308.1059502827486	1287.1630704282588	2.16
1317.7135182532952	1230.6403907489157	2.2
1316.09897048563	1175.7991902972724	2.24
1308.2194125472395	1122.7295504224344	2.28
1305.0456096065636	1084.4337403135835	2.32
1297.651745374913	1079.4988429072575	2.36
1297.5100173559633	1092.5701331048792	2.4
